driver_age,driver_gender,driving_experience_years,accident_history_count,license_points,vehicle_type,vehicle_age_years,vehicle_value_brl,annual_mileage_km,usage_type,region,city_size,coverage_type,has_deductible,monthly_insurance_cost
18,M,0,1,2,Hatchback,13,20000,20424,Pessoal,Sudeste,Media,Intermediária,0,205.41
28,F,8,2,8,SUV,10,91499,18428,Pessoal,Sul,Media,Básica,1,496.0
45,F,25,0,2,Sports,3,232626,21024,Trabalho,Nordeste,Media,Completa,0,2679.39
42,F,23,0,0,Sedan,0,86137,8747,Pessoal,Centro-Oeste,Grande,Básica,1,290.98
67,F,48,0,2,Hatchback,9,24172,14297,Pessoal,Centro-Oeste,Media,Básica,0,150.0
40,F,22,0,0,Sedan,7,38708,6607,Pessoal,Sul,Media,Completa,1,171.44
48,F,28,0,6,Sports,7,206769,26458,Pessoal,Sudeste,Media,Básica,0,1593.92
47,M,29,1,0,Sedan,12,20000,28537,Pessoal,Norte,Grande,Básica,0,150.0
59,F,39,1,0,Sedan,7,49226,28117,Pessoal,Nordeste,Media,Intermediária,1,171.12
52,M,32,1,0,SUV,2,145634,21450,Pessoal,Sudeste,Grande,Completa,0,1546.27
24,F,4,0,4,SUV,5,121731,20535,Pessoal,Sul,Media,Básica,1,520.18
33,F,14,2,0,Sedan,11,25965,29384,Pessoal,Sudeste,Pequena,Intermediária,1,150.0
43,F,24,0,4,Hatchback,11,20000,12645,Pessoal,Sudeste,Media,Intermediária,1,150.0
65,M,45,1,0,SUV,6,110375,14470,Trabalho,Centro-Oeste,Grande,Completa,0,1608.8
69,F,51,2,0,Sedan,8,45517,9158,Trabalho,Norte,Grande,Completa,1,529.68
66,F,46,0,0,SUV,4,139420,14005,Pessoal,Sudeste,Pequena,Completa,1,897.12
19,M,0,0,8,Pickup,8,76218,21786,Pessoal,Sul,Media,Intermediária,1,833.21
18,M,0,3,8,Hatchback,5,42124,12925,Pessoal,Nordeste,Media,Intermediária,1,435.51
65,F,45,0,0,Hatchback,9,20000,18640,Pessoal,Sul,Grande,Básica,0,150.0
29,M,11,1,0,Hatchback,9,20000,9166,Pessoal,Norte,Media,Intermediária,1,150.0
22,F,3,0,0,SUV,9,108073,24309,Pessoal,Centro-Oeste,Media,Completa,0,1146.68
54,M,35,1,2,Sedan,3,66371,20076,Trabalho,Norte,Pequena,Intermediária,1,316.01
49,M,31,0,0,Sedan,12,27594,24377,Trabalho,Sul,Media,Básica,1,150.0
26,F,7,0,6,Pickup,0,121226,14278,Pessoal,Sul,Media,Intermediária,1,462.71
58,M,39,1,8,Minivan,0,109503,5771,Pessoal,Sudeste,Media,Intermediária,1,529.57
52,F,34,0,0,SUV,13,85046,16440,Trabalho,Sudeste,Grande,Intermediária,1,542.26
36,M,17,0,0,Sedan,9,41651,28755,Pessoal,Sudeste,Pequena,Intermediária,1,222.19
65,M,45,0,6,Sedan,4,69158,27097,Trabalho,Norte,Media,Intermediária,1,394.37
33,F,13,0,4,SUV,12,91041,13167,Pessoal,Nordeste,Pequena,Básica,1,224.7
20,M,2,0,0,Hatchback,13,20000,6556,Trabalho,Centro-Oeste,Media,Completa,1,187.93
37,F,18,0,0,Sedan,2,64965,16150,Uber,Sul,Grande,Intermediária,1,337.85
41,F,21,3,0,Minivan,4,83492,6151,Uber,Centro-Oeste,Media,Básica,0,406.41
50,F,30,0,0,SUV,4,133336,26698,Pessoal,Centro-Oeste,Grande,Intermediária,0,808.66
41,M,22,1,0,Sports,0,259843,22601,Pessoal,Sudeste,Grande,Completa,0,3000.0
69,M,50,0,0,Pickup,13,62373,17534,Pessoal,Norte,Grande,Completa,1,353.4
28,F,8,0,2,Pickup,7,87684,25328,Uber,Sul,Media,Intermediária,0,573.8
66,F,46,3,0,Hatchback,4,47321,13039,Pessoal,Sudeste,Media,Básica,1,322.32
25,F,7,0,0,Hatchback,4,36654,23426,Pessoal,Sul,Grande,Básica,1,150.0
53,M,35,4,0,Hatchback,8,20000,19659,Pessoal,Nordeste,Media,Básica,1,150.0
55,M,35,0,4,Hatchback,7,20000,11303,Pessoal,Centro-Oeste,Grande,Intermediária,1,150.0
57,F,39,2,6,Hatchback,12,20000,24053,Pessoal,Sudeste,Pequena,Intermediária,0,201.75
37,F,17,1,0,Minivan,0,96360,23497,Pessoal,Sul,Media,Intermediária,1,399.24
52,F,32,3,0,Hatchback,2,43743,7977,Pessoal,Sul,Media,Intermediária,1,195.46
65,F,47,1,10,Pickup,11,62159,17541,Pessoal,Sul,Grande,Básica,1,350.92
42,F,24,1,0,Sports,6,210518,25762,Uber,Sudeste,Media,Básica,1,1946.15
52,M,33,0,0,Sedan,0,86652,28611,Trabalho,Sul,Media,Intermediária,0,412.73
42,M,23,0,0,Sedan,0,82925,27645,Trabalho,Sudeste,Pequena,Básica,1,195.77
46,M,27,3,0,SUV,4,134810,5422,Pessoal,Nordeste,Grande,Básica,0,487.73
35,M,15,0,0,SUV,8,116239,16985,Trabalho,Sudeste,Grande,Intermediária,1,707.38
63,F,45,0,6,Pickup,5,90475,21474,Pessoal,Centro-Oeste,Media,Completa,0,833.08
35,M,15,2,2,SUV,9,99185,8372,Pessoal,Sul,Grande,Completa,1,838.08
19,F,1,0,0,Hatchback,1,50161,21083,Pessoal,Sudeste,Grande,Completa,0,768.79
52,M,32,4,8,SUV,10,99580,27420,Pessoal,Sudeste,Pequena,Intermediária,1,1206.01
33,M,14,2,0,Sedan,8,39886,6942,Pessoal,Sul,Grande,Intermediária,1,180.8
58,M,39,1,0,Hatchback,5,36465,25189,Entrega,Sul,Pequena,Básica,1,216.3
53,M,34,3,2,Pickup,4,101221,14950,Pessoal,Nordeste,Grande,Completa,1,920.45
50,F,30,0,2,Sedan,4,52335,21282,Pessoal,Norte,Media,Básica,0,165.26
21,M,3,0,0,Hatchback,14,20000,21481,Pessoal,Sul,Media,Básica,0,190.1
50,F,32,1,0,Hatchback,11,20000,6479,Pessoal,Sudeste,Media,Básica,1,150.0
31,M,12,0,2,Sedan,2,74972,9626,Pessoal,Norte,Pequena,Completa,1,185.53
38,M,19,2,2,Sedan,13,20000,15777,Pessoal,Sul,Grande,Completa,1,183.74
65,M,46,3,2,Minivan,5,73083,10147,Trabalho,Centro-Oeste,Pequena,Completa,1,851.45
37,F,18,1,0,SUV,14,78294,25031,Pessoal,Norte,Media,Intermediária,0,383.22
25,F,7,0,0,Sedan,14,20000,10443,Pessoal,Norte,Grande,Intermediária,0,185.59
24,M,4,4,0,Sedan,12,20000,5079,Trabalho,Sudeste,Pequena,Completa,1,253.84
20,M,0,1,0,Hatchback,3,54130,10577,Uber,Sul,Grande,Intermediária,0,583.57
34,F,14,1,8,Hatchback,12,20000,17901,Trabalho,Sul,Pequena,Completa,0,247.5
50,M,30,0,0,Hatchback,11,20000,7223,Trabalho,Nordeste,Grande,Intermediária,0,150.0
65,M,46,3,0,Sedan,9,31613,7569,Pessoal,Norte,Pequena,Intermediária,0,187.75
29,F,10,1,4,Sports,13,186729,14964,Pessoal,Centro-Oeste,Media,Completa,0,2361.0
68,F,49,2,0,SUV,14,71327,18768,Trabalho,Nordeste,Grande,Básica,1,437.14
39,M,19,2,0,SUV,1,142772,25902,Uber,Centro-Oeste,Media,Completa,1,1861.22
39,F,20,0,4,SUV,12,90666,22507,Pessoal,Centro-Oeste,Grande,Intermediária,1,442.52
63,F,44,1,6,SUV,2,146289,21249,Pessoal,Nordeste,Grande,Completa,0,2168.87
47,M,29,2,2,Sports,8,218946,7623,Trabalho,Centro-Oeste,Grande,Intermediária,0,2752.31
55,F,37,0,0,Sports,10,209701,6403,Pessoal,Sudeste,Grande,Intermediária,1,1216.03
55,F,36,2,2,SUV,10,108820,23962,Pessoal,Sul,Grande,Intermediária,1,770.43
62,M,44,3,4,Sports,8,205769,21715,Pessoal,Centro-Oeste,Media,Intermediária,0,3000.0
68,M,50,1,0,Pickup,5,98663,12485,Trabalho,Sudeste,Media,Intermediária,1,695.1
25,M,6,2,0,Minivan,9,50918,16800,Entrega,Sudeste,Media,Completa,1,527.56
44,F,25,2,6,Sedan,9,42473,22123,Pessoal,Nordeste,Grande,Intermediária,1,317.39
44,M,25,2,0,Hatchback,13,20000,17798,Pessoal,Centro-Oeste,Media,Básica,0,150.0
51,F,32,0,4,Sedan,8,32394,29617,Pessoal,Norte,Media,Completa,1,206.32
38,F,18,0,0,Pickup,3,95666,9980,Pessoal,Sul,Grande,Básica,1,240.13
47,M,27,1,0,Sedan,10,32355,8878,Pessoal,Centro-Oeste,Pequena,Intermediária,1,213.47
50,F,31,1,0,Hatchback,4,32234,6949,Pessoal,Sul,Media,Básica,1,150.0
45,M,27,1,4,SUV,9,101335,24844,Pessoal,Norte,Media,Completa,0,1026.94
64,F,45,2,0,SUV,5,132620,23512,Trabalho,Sul,Grande,Básica,1,1082.45
50,F,31,0,2,Hatchback,12,20000,25881,Trabalho,Centro-Oeste,Grande,Básica,1,150.0
22,M,4,1,2,Sports,14,187758,23538,Pessoal,Nordeste,Pequena,Completa,1,2807.98
65,M,45,0,4,Hatchback,8,21503,26614,Pessoal,Sudeste,Pequena,Completa,1,150.0
36,M,17,2,8,Sports,12,186359,28828,Entrega,Norte,Grande,Básica,1,2557.45
21,M,2,1,2,Sedan,4,66560,22621,Pessoal,Nordeste,Grande,Completa,0,1148.45
52,M,32,0,0,SUV,7,118876,14958,Trabalho,Sudeste,Media,Completa,0,874.88
66,M,46,0,8,SUV,10,92928,13697,Pessoal,Sul,Media,Básica,1,399.76
34,F,16,2,2,Sedan,0,77617,26624,Trabalho,Sudeste,Pequena,Completa,0,994.65
61,M,41,1,0,Hatchback,4,37614,20493,Trabalho,Sudeste,Grande,Intermediária,0,332.03
45,M,25,0,0,Hatchback,9,20000,15033,Trabalho,Nordeste,Grande,Intermediária,1,150.0
47,F,27,4,4,Hatchback,0,54971,26199,Uber,Norte,Grande,Intermediária,1,661.12
46,M,28,2,0,Hatchback,9,20000,14586,Uber,Sul,Grande,Intermediária,0,198.86
63,F,43,4,2,Hatchback,13,20000,5256,Pessoal,Sudeste,Grande,Básica,1,150.0
23,F,3,1,0,Sedan,5,64539,6720,Pessoal,Sudeste,Pequena,Completa,0,493.16
52,F,34,1,0,Sedan,6,42504,18241,Pessoal,Sul,Media,Básica,0,170.63
58,M,38,3,2,Hatchback,11,20000,21234,Trabalho,Sudeste,Pequena,Intermediária,1,151.03
54,M,34,1,0,Sedan,13,20000,28731,Trabalho,Sudeste,Grande,Básica,0,150.0
41,M,23,2,0,Sedan,4,67653,12076,Pessoal,Sudeste,Grande,Completa,1,514.59
46,F,27,0,2,SUV,0,157748,6071,Pessoal,Centro-Oeste,Grande,Intermediária,1,569.5
66,M,48,1,0,Hatchback,5,25923,6622,Trabalho,Centro-Oeste,Grande,Intermediária,1,150.0
63,M,43,0,4,SUV,9,111854,7066,Pessoal,Sul,Pequena,Intermediária,0,530.49
48,F,28,0,4,Hatchback,4,40246,13642,Pessoal,Nordeste,Grande,Completa,1,150.0
52,M,32,0,4,Hatchback,5,37475,5897,Trabalho,Centro-Oeste,Grande,Intermediária,0,150.0
50,M,32,0,0,SUV,10,109338,26559,Pessoal,Nordeste,Grande,Completa,0,790.25
69,M,49,4,0,Pickup,9,82532,13273,Pessoal,Sudeste,Grande,Básica,1,637.8
38,F,18,0,2,Hatchback,14,20000,25558,Pessoal,Nordeste,Media,Básica,1,150.0
49,M,31,1,8,Hatchback,6,34860,10781,Pessoal,Nordeste,Grande,Intermediária,0,150.0
40,F,21,2,4,Hatchback,6,37013,25328,Pessoal,Sudeste,Media,Completa,0,367.48
50,F,31,1,4,Sedan,1,72407,27810,Pessoal,Sudeste,Media,Básica,1,319.05
20,M,0,0,0,Hatchback,14,20000,18622,Pessoal,Norte,Grande,Básica,1,150.0
35,F,17,2,0,SUV,11,93709,18284,Pessoal,Centro-Oeste,Grande,Básica,1,442.35
42,M,22,1,0,Minivan,2,96311,15399,Pessoal,Norte,Media,Intermediária,1,338.36
59,M,41,2,0,Pickup,11,56343,26819,Pessoal,Nordeste,Media,Intermediária,1,268.45
48,F,30,2,0,Hatchback,5,35161,14883,Entrega,Centro-Oeste,Grande,Completa,0,396.47
20,F,1,4,8,Sedan,2,71419,14371,Pessoal,Sul,Grande,Básica,1,956.49
57,F,38,1,0,Sedan,1,72797,24319,Uber,Sudeste,Grande,Básica,0,473.04
63,M,45,0,0,SUV,3,144283,27217,Trabalho,Norte,Grande,Intermediária,0,1172.64
41,M,21,1,0,SUV,4,120934,15707,Pessoal,Sudeste,Grande,Intermediária,1,754.65
67,M,48,0,6,Sedan,10,21986,13088,Trabalho,Sul,Grande,Intermediária,1,212.84
49,M,29,3,2,SUV,9,109016,18140,Pessoal,Centro-Oeste,Grande,Básica,0,849.41
64,M,45,0,2,Sedan,8,35465,21845,Trabalho,Centro-Oeste,Grande,Completa,1,308.78
39,M,20,0,6,Minivan,2,89966,16093,Pessoal,Sudeste,Grande,Intermediária,1,444.02
40,M,20,2,0,Sedan,2,75721,21500,Trabalho,Sudeste,Pequena,Intermediária,0,556.48
19,M,0,1,2,Minivan,5,66505,10785,Pessoal,Sudeste,Media,Intermediária,0,669.21
44,M,25,0,0,Sports,4,225363,11507,Trabalho,Sul,Pequena,Básica,0,1011.48
59,M,39,1,0,SUV,5,130940,10830,Pessoal,Nordeste,Grande,Completa,1,798.78
19,F,0,3,4,Hatchback,6,30846,9561,Uber,Sudeste,Media,Completa,1,774.02
43,M,24,0,4,SUV,10,91010,19519,Pessoal,Nordeste,Grande,Intermediária,1,482.19
34,F,15,3,0,Hatchback,2,54924,29511,Trabalho,Nordeste,Media,Intermediária,1,364.89
57,F,37,0,0,SUV,14,83482,5659,Pessoal,Centro-Oeste,Grande,Básica,0,248.78
50,M,32,2,2,SUV,12,99861,23506,Pessoal,Sudeste,Grande,Intermediária,0,1095.93
26,F,6,2,0,Hatchback,4,39369,16535,Trabalho,Sudeste,Pequena,Intermediária,0,229.42
60,F,42,0,0,SUV,7,108857,19002,Uber,Sudeste,Media,Completa,0,1128.13
65,F,46,1,0,Hatchback,3,44864,22970,Pessoal,Sudeste,Pequena,Básica,0,279.65
56,M,38,0,0,Sedan,9,35120,9682,Uber,Nordeste,Grande,Básica,1,150.0
46,M,26,2,4,SUV,1,146370,28183,Trabalho,Sudeste,Grande,Básica,0,1653.3
59,M,39,1,0,Sedan,3,57553,20702,Trabalho,Nordeste,Grande,Básica,1,229.09
43,F,24,1,0,Sedan,1,80489,15939,Pessoal,Sul,Media,Intermediária,1,257.44
52,F,34,0,2,Sedan,2,64389,13826,Pessoal,Sul,Media,Básica,1,163.55
67,F,48,0,6,Sedan,3,71935,28371,Uber,Norte,Pequena,Completa,0,912.93
42,F,23,0,0,Sedan,3,66089,29359,Pessoal,Sudeste,Grande,Básica,1,322.79
41,F,21,0,0,Pickup,9,74231,24266,Pessoal,Sudeste,Media,Intermediária,1,260.0
30,M,12,1,0,Sedan,8,33051,10249,Pessoal,Sudeste,Grande,Intermediária,0,167.98
24,M,6,3,4,Hatchback,9,20000,24195,Pessoal,Sul,Grande,Completa,1,380.4
53,F,35,1,2,Sedan,5,56789,17645,Trabalho,Centro-Oeste,Media,Completa,1,444.13
62,M,44,1,4,Sports,8,202555,26911,Trabalho,Sul,Media,Completa,1,3000.0
37,M,18,4,8,SUV,3,142473,23268,Pessoal,Sudeste,Grande,Completa,0,3000.0
18,M,0,2,4,SUV,8,112767,14710,Pessoal,Sudeste,Grande,Intermediária,1,2013.99
25,M,5,3,2,SUV,10,90458,13813,Pessoal,Norte,Grande,Completa,1,732.17
63,F,44,1,0,SUV,12,95701,17769,Pessoal,Sudeste,Grande,Completa,1,1078.54
33,F,14,0,0,Hatchback,8,26066,19161,Pessoal,Sul,Grande,Básica,1,159.56
31,F,11,0,10,Sedan,5,49721,26457,Uber,Sudeste,Grande,Intermediária,1,561.93
29,F,9,2,0,Minivan,4,82446,14729,Trabalho,Sul,Grande,Básica,0,360.82
68,M,48,0,0,SUV,2,136304,20680,Pessoal,Sul,Pequena,Intermediária,1,670.52
40,M,21,0,2,SUV,13,88565,21147,Uber,Sul,Pequena,Intermediária,1,544.38
32,F,13,1,0,Hatchback,14,20000,26800,Pessoal,Sudeste,Media,Intermediária,0,150.0
45,M,25,1,2,SUV,4,121920,27184,Trabalho,Sul,Pequena,Intermediária,1,794.83
51,F,31,1,2,Pickup,14,53227,28279,Pessoal,Sudeste,Media,Completa,1,429.27
19,F,0,0,0,SUV,2,137694,15262,Trabalho,Norte,Grande,Intermediária,1,1230.69
49,M,30,0,4,Hatchback,4,36298,27699,Pessoal,Centro-Oeste,Grande,Completa,0,278.58
40,F,21,1,0,Sedan,4,56629,26314,Pessoal,Sul,Pequena,Intermediária,0,315.37
39,F,21,4,0,Pickup,1,117719,7365,Pessoal,Sul,Media,Intermediária,1,588.08
68,F,49,2,2,Hatchback,13,20000,18195,Pessoal,Centro-Oeste,Pequena,Intermediária,1,150.0
42,M,23,3,2,Sedan,13,22387,16037,Pessoal,Nordeste,Pequena,Básica,0,159.81
39,M,20,2,4,Sedan,8,49467,16230,Pessoal,Sul,Grande,Intermediária,1,428.65
39,M,19,1,0,SUV,14,80306,22238,Pessoal,Nordeste,Grande,Intermediária,0,467.38
66,M,47,0,2,Minivan,6,62589,20552,Trabalho,Sudeste,Grande,Intermediária,0,565.46
69,M,49,1,0,Sedan,13,20000,7728,Pessoal,Sudeste,Grande,Intermediária,1,150.0
59,F,41,1,8,SUV,5,117241,22299,Trabalho,Norte,Grande,Intermediária,0,1187.68
23,M,5,1,0,Sedan,4,63601,20477,Pessoal,Centro-Oeste,Grande,Intermediária,1,446.05
32,F,12,1,4,SUV,14,77711,28557,Uber,Nordeste,Grande,Intermediária,0,1050.71
60,F,40,1,0,Hatchback,3,35938,9938,Uber,Sudeste,Grande,Básica,1,150.0
54,F,34,0,0,Minivan,7,59301,5131,Pessoal,Sudeste,Grande,Básica,1,150.0
50,M,31,1,0,SUV,1,138970,24977,Trabalho,Centro-Oeste,Grande,Básica,1,807.15
25,F,7,0,6,Pickup,7,78999,5293,Pessoal,Sudeste,Media,Básica,1,182.84
61,M,41,2,2,SUV,0,143408,19727,Uber,Sudeste,Grande,Básica,1,1697.46
61,M,42,0,6,Sedan,9,38807,15488,Pessoal,Sul,Media,Básica,1,150.0
22,F,4,0,0,SUV,0,148962,25069,Pessoal,Sul,Pequena,Básica,1,535.63
56,M,37,1,0,Hatchback,2,56632,29400,Pessoal,Sudeste,Grande,Intermediária,1,287.12
21,M,3,1,0,Minivan,4,83385,29146,Pessoal,Centro-Oeste,Grande,Básica,1,545.06
23,F,4,1,4,Sports,13,180950,11846,Pessoal,Norte,Pequena,Intermediária,1,1609.65
62,M,44,0,0,Sedan,5,47926,12584,Trabalho,Sudeste,Media,Completa,1,334.51
49,M,31,1,6,Sedan,3,62975,28694,Pessoal,Centro-Oeste,Media,Completa,1,530.69
69,M,50,0,6,Sedan,6,46966,26740,Pessoal,Sul,Grande,Intermediária,1,340.73
47,F,27,3,8,Sports,6,219133,21670,Pessoal,Norte,Pequena,Completa,1,3000.0
64,F,46,3,2,Sports,1,241587,13641,Pessoal,Sudeste,Pequena,Intermediária,1,3000.0
52,M,32,1,2,Pickup,1,110091,16432,Pessoal,Nordeste,Media,Básica,0,374.83
57,M,38,0,4,SUV,1,143985,27970,Trabalho,Nordeste,Grande,Completa,1,1403.68
69,M,49,2,0,SUV,14,87061,15895,Pessoal,Sudeste,Pequena,Completa,1,924.28
33,M,13,0,2,SUV,13,76561,10303,Pessoal,Sudeste,Media,Intermediária,1,345.0
30,F,10,1,0,Sedan,14,20000,24500,Pessoal,Norte,Media,Intermediária,1,150.0
67,M,47,0,0,SUV,1,149785,27258,Pessoal,Sul,Grande,Intermediária,1,963.87
59,M,39,3,0,Sedan,12,20000,28354,Trabalho,Centro-Oeste,Media,Básica,0,150.0
47,F,29,0,0,Sedan,8,46139,29532,Pessoal,Norte,Grande,Básica,1,150.0
36,F,18,1,0,Sports,13,175209,13444,Pessoal,Sudeste,Grande,Intermediária,1,1551.45
34,F,16,2,0,Pickup,4,94983,14611,Pessoal,Nordeste,Media,Completa,0,677.1
36,M,17,1,2,SUV,10,97141,15528,Pessoal,Norte,Grande,Básica,0,512.31
45,M,25,0,0,SUV,7,115118,22619,Pessoal,Centro-Oeste,Media,Completa,1,657.03
43,M,25,4,2,SUV,4,136261,5999,Pessoal,Sul,Media,Básica,1,531.43
54,M,35,1,0,Hatchback,12,20000,8760,Trabalho,Sudeste,Grande,Intermediária,1,150.0
43,F,25,1,2,Pickup,10,70069,9116,Pessoal,Sul,Media,Intermediária,1,339.23
40,F,22,0,2,Pickup,4,98818,9411,Pessoal,Nordeste,Pequena,Intermediária,1,216.49
26,F,6,1,2,Hatchback,0,60918,26941,Pessoal,Nordeste,Grande,Básica,0,199.98
29,F,10,1,4,Sedan,5,54650,26736,Pessoal,Centro-Oeste,Media,Intermediária,1,288.77
18,M,0,0,0,SUV,3,144208,15362,Pessoal,Sudeste,Grande,Intermediária,0,1680.75
18,F,0,0,4,SUV,14,71250,16113,Uber,Sul,Media,Básica,1,581.2
64,M,46,2,0,SUV,2,134758,8683,Uber,Nordeste,Grande,Básica,1,833.94
51,F,31,0,0,Pickup,5,89363,23645,Pessoal,Centro-Oeste,Grande,Intermediária,1,412.94
49,M,30,0,2,SUV,1,137163,19982,Pessoal,Norte,Grande,Intermediária,1,629.75
65,M,45,1,0,Sedan,7,44815,6853,Pessoal,Centro-Oeste,Pequena,Básica,1,150.0
42,M,22,2,2,SUV,0,141853,18079,Pessoal,Nordeste,Media,Intermediária,1,791.01
57,F,37,0,2,Minivan,11,52137,11895,Trabalho,Centro-Oeste,Media,Completa,0,322.37
62,M,44,1,0,Sedan,8,31868,24374,Trabalho,Centro-Oeste,Grande,Básica,0,156.27
18,M,0,0,0,Hatchback,7,31565,17935,Uber,Sudeste,Media,Intermediária,1,361.84
33,M,15,0,0,SUV,0,157897,17552,Pessoal,Norte,Grande,Básica,1,426.5
56,F,38,0,6,Sedan,9,40568,21053,Pessoal,Centro-Oeste,Grande,Básica,1,170.28
22,F,4,2,2,SUV,11,94094,5862,Trabalho,Sudeste,Media,Básica,0,793.7
39,F,21,0,0,Hatchback,14,20000,9527,Trabalho,Sul,Grande,Intermediária,1,185.05
46,M,28,0,0,SUV,8,105238,17247,Uber,Sudeste,Grande,Completa,1,1051.14
20,F,1,1,2,Sports,1,242089,22603,Pessoal,Sudeste,Media,Básica,1,3000.0
29,M,9,2,4,Sedan,2,78940,8795,Pessoal,Sudeste,Pequena,Intermediária,1,464.99
43,F,25,0,0,Sedan,1,70280,17796,Pessoal,Sul,Grande,Intermediária,1,278.62
33,F,15,1,0,Minivan,12,34244,17734,Pessoal,Sudeste,Grande,Básica,1,150.0
68,M,49,0,6,SUV,13,77164,5527,Pessoal,Sul,Grande,Intermediária,0,470.77
54,M,35,1,0,Hatchback,7,30149,28753,Trabalho,Nordeste,Pequena,Completa,0,195.47
39,M,19,1,0,Pickup,1,119088,7922,Pessoal,Sudeste,Pequena,Completa,0,697.83
46,M,27,1,8,SUV,9,113405,10849,Pessoal,Sudeste,Media,Completa,1,954.34
31,M,11,0,2,Hatchback,1,47821,22546,Trabalho,Sul,Pequena,Intermediária,0,244.82
45,F,27,0,0,Sedan,14,20000,17956,Pessoal,Sudeste,Grande,Completa,0,150.0
22,M,4,0,0,Sedan,0,83686,22230,Uber,Sudeste,Pequena,Básica,1,419.19
64,M,44,0,0,Sedan,6,49762,11959,Pessoal,Nordeste,Grande,Intermediária,1,169.75
66,M,47,0,0,Pickup,11,60969,8086,Pessoal,Nordeste,Grande,Completa,1,438.42
47,M,27,2,6,Sedan,1,77178,14962,Entrega,Sul,Media,Básica,0,481.3
63,F,44,4,0,Hatchback,9,20000,24667,Uber,Centro-Oeste,Grande,Intermediária,0,358.87
69,M,51,4,4,Minivan,4,87097,20419,Pessoal,Sul,Media,Intermediária,0,950.07
22,F,3,3,6,SUV,4,134096,8323,Trabalho,Norte,Grande,Intermediária,1,1746.87
29,F,9,1,0,SUV,2,137203,5445,Pessoal,Norte,Media,Básica,1,441.78
33,F,13,2,0,SUV,2,133545,22409,Pessoal,Sudeste,Grande,Completa,0,1832.93
43,F,25,0,2,SUV,12,80863,14963,Pessoal,Centro-Oeste,Grande,Intermediária,1,354.48
43,M,24,1,6,SUV,11,101148,22743,Pessoal,Nordeste,Pequena,Básica,1,284.68
65,F,46,1,4,Hatchback,2,57809,29594,Trabalho,Centro-Oeste,Pequena,Básica,1,329.47
38,M,19,1,0,Minivan,5,83688,27497,Trabalho,Centro-Oeste,Pequena,Completa,0,642.66
56,M,38,2,2,Minivan,13,25653,20437,Entrega,Norte,Media,Básica,1,150.0
53,F,34,0,2,Sports,3,233129,21855,Trabalho,Sudeste,Media,Básica,1,1530.65
50,F,30,0,6,Sports,12,180443,21411,Pessoal,Centro-Oeste,Media,Intermediária,1,1379.36
47,F,28,3,0,SUV,2,135106,15847,Trabalho,Nordeste,Grande,Intermediária,1,1085.67
54,M,36,0,2,Hatchback,1,49436,8236,Entrega,Centro-Oeste,Grande,Intermediária,1,243.72
40,M,21,1,6,Sports,12,199241,25332,Trabalho,Centro-Oeste,Grande,Intermediária,0,3000.0
27,F,8,3,0,SUV,2,139472,18487,Trabalho,Sul,Pequena,Completa,1,1277.8
22,M,2,1,0,Minivan,3,78039,16848,Uber,Sudeste,Grande,Completa,1,1797.76
53,F,34,1,0,SUV,5,123291,18155,Pessoal,Sul,Pequena,Básica,1,388.66
51,F,31,0,0,Hatchback,3,45278,16255,Trabalho,Sudeste,Media,Intermediária,1,150.0
69,M,49,0,0,Hatchback,7,31285,27556,Uber,Sudeste,Media,Completa,1,292.35
48,M,30,3,8,Minivan,2,93944,6979,Entrega,Norte,Grande,Intermediária,1,752.14
27,M,7,1,0,Sedan,11,20000,26305,Pessoal,Centro-Oeste,Grande,Intermediária,1,150.0
36,M,16,1,0,Hatchback,2,41607,14007,Pessoal,Nordeste,Pequena,Básica,1,173.74
49,F,31,0,2,SUV,2,132953,7326,Trabalho,Sudeste,Grande,Intermediária,1,755.76
18,M,0,0,0,Sedan,7,47173,7330,Pessoal,Nordeste,Grande,Intermediária,1,259.56
22,F,4,4,0,Pickup,3,100933,29030,Trabalho,Centro-Oeste,Grande,Intermediária,1,1817.44
62,M,43,0,4,Hatchback,0,61386,6002,Pessoal,Centro-Oeste,Grande,Completa,0,363.59
21,F,3,1,6,Hatchback,1,60221,14734,Pessoal,Sudeste,Grande,Básica,0,448.91
33,M,13,0,2,SUV,12,84682,11448,Pessoal,Sudeste,Media,Básica,1,190.4
41,M,23,1,2,SUV,13,89853,11837,Pessoal,Centro-Oeste,Media,Básica,0,330.74
33,M,13,3,0,Hatchback,9,20000,17396,Pessoal,Sudeste,Media,Intermediária,1,164.89
19,F,0,1,8,SUV,12,91154,27851,Pessoal,Norte,Grande,Básica,1,1095.91
66,F,48,0,0,Sedan,12,20000,12354,Pessoal,Nordeste,Pequena,Intermediária,1,150.0
45,F,26,1,4,Minivan,13,35338,19251,Pessoal,Norte,Media,Intermediária,1,166.01
49,M,29,2,0,SUV,1,149323,7529,Pessoal,Centro-Oeste,Grande,Intermediária,1,758.96
44,M,24,1,8,Hatchback,13,20000,18209,Pessoal,Norte,Grande,Básica,1,150.0
37,M,18,3,4,SUV,2,135783,22814,Pessoal,Nordeste,Grande,Completa,0,2091.39
41,M,23,1,4,SUV,5,127343,8912,Trabalho,Sudeste,Media,Intermediária,1,800.97
29,M,11,3,0,SUV,7,114917,22916,Pessoal,Sudeste,Media,Completa,1,1307.04
67,F,47,1,0,SUV,11,95145,23276,Pessoal,Sul,Pequena,Intermediária,0,625.22
